username,retweet_count,reply_count
EffendiRistriy1,6,3
Munir_Timur,5,0
waroenk_koffee,3,0
Kang_Cepot,1,1
BaraTeras10969,1,0
FarahNathan24,1,0
Rakha_boumi,1,0
YarsidM,1,0
lambedigdoyo,1,0
sirajapadoha,1,0
dangiangkuning1,0,4
zainalmusyaffak,0,3
SabaruddinS64,0,2
Benlizp,0,1
BiruBir26073179,0,1
EkoEkobigcity,0,1
Haydhar3,0,1
abdul_waringin,0,1
devcepi60,0,1
gory_ch,0,1
gyubtrxh,0,1
presiden_Wahabi,0,1
saposikompak,0,1
1yagmurdelisii,0,0
AdjaCapoek,0,0
AhlisWae,0,0
Albyadyiatna,0,0
Antonyy_10,0,0
Ardians24224357,0,0
ArnoldS81008357,0,0
Asmaragadjyry,0,0
AubreyA09848898,0,0
BeckhamArmy,0,0
ChriestyanK,0,0
CjHarto,0,0
DameulE40825,0,0
ExclusiveBstrd,0,0
FahrulMch,0,0
GerardVanny,0,0
Hegie_bae,0,0
IsrajabMuhammad,0,0
Joker_Wedoks,0,0
Kelvin_Sewwotz,0,0
LanangJagad31,0,0
MarvinNTedjo,0,0
Mr_PrasT_Jr,0,0
Nightingaler02,0,0
ParapatYohanes,0,0
Pe_Enestee,0,0
RaakezOnline,0,0
RaiTj001,0,0
SuLastr82560729,0,0
SuciptoHad53960,0,0
Syahrull_021,0,0
Tatto26141368,0,0
WinSamb,0,0
Yadiwiyanto1,0,0
YonathanMichael,0,0
ZanuAriel,0,0
ada_solusi,0,0
al_tiawan,0,0
amot_kadundon,0,0
berkahsentosa02,0,0
bud1_f1,0,0
chris_edwardi,0,0
dean_deanlova,0,0
deddyyunarto,0,0
fathreeana,0,0
fauziafief21,0,0
fwsetyawan,0,0
gyhhh610,0,0
helmihakam7,0,0
herihero88,0,0
hokimulu,0,0
indonetwork,0,0
jit_tok,0,0
kumur69,0,0
luminousmatthew,0,0
nandaraam,0,0
oxdewawin,0,0
pitersim,0,0
rhm84e,0,0
san_jaya78,0,0
sebastian161259,0,0
shandy_andre,0,0
snakeonthebed,0,0
soak438321,0,0
sundanga_1,0,0
ttheomanalu,0,0
