Source,Target,Type,Id,Weight
EffendiRistriy1,adearmando,Directed,EffendiRistriy1_to_adearmando_retweet,6
EffendiRistriy1,adearmando,Directed,EffendiRistriy1_to_adearmando_reply,3
Munir_Timur,adearmando,Directed,Munir_Timur_to_adearmando_retweet,5
waroenk_koffee,adearmando,Directed,waroenk_koffee_to_adearmando_retweet,3
Kang_Cepot,adearmando,Directed,Kang_Cepot_to_adearmando_retweet,1
Kang_Cepot,adearmando,Directed,Kang_Cepot_to_adearmando_reply,1
BaraTeras10969,adearmando,Directed,BaraTeras10969_to_adearmando_retweet,1
FarahNathan24,adearmando,Directed,FarahNathan24_to_adearmando_retweet,1
Rakha_boumi,adearmando,Directed,Rakha_boumi_to_adearmando_retweet,1
YarsidM,adearmando,Directed,YarsidM_to_adearmando_retweet,1
lambedigdoyo,adearmando,Directed,lambedigdoyo_to_adearmando_retweet,1
sirajapadoha,adearmando,Directed,sirajapadoha_to_adearmando_retweet,1
dangiangkuning1,adearmando,Directed,dangiangkuning1_to_adearmando_reply,4
zainalmusyaffak,adearmando,Directed,zainalmusyaffak_to_adearmando_reply,3
SabaruddinS64,adearmando,Directed,SabaruddinS64_to_adearmando_reply,2
Benlizp,adearmando,Directed,Benlizp_to_adearmando_reply,1
BiruBir26073179,adearmando,Directed,BiruBir26073179_to_adearmando_reply,1
EkoEkobigcity,adearmando,Directed,EkoEkobigcity_to_adearmando_reply,1
Haydhar3,adearmando,Directed,Haydhar3_to_adearmando_reply,1
abdul_waringin,adearmando,Directed,abdul_waringin_to_adearmando_reply,1
devcepi60,adearmando,Directed,devcepi60_to_adearmando_reply,1
gory_ch,adearmando,Directed,gory_ch_to_adearmando_reply,1
gyubtrxh,adearmando,Directed,gyubtrxh_to_adearmando_reply,1
presiden_Wahabi,adearmando,Directed,presiden_Wahabi_to_adearmando_reply,1
saposikompak,adearmando,Directed,saposikompak_to_adearmando_reply,1
